Tx Time (sec), Rx Time (sec), Pulse Width (sec), Amplitude (V), Carrier Frequency (Hz), Leading Edge Phase (rad), SNR (dB), PRI (sec), Emitter ID, Antenna ID, General Mode, Exact Mode, Index, Received Azimuth (deg), Received Elevation (deg), Tx North (km), Tx East (km), Tx Down (km), Rx North (km), Rx East (km), Rx Down (km), Modulation Type, Chirp Bandwidth (Hz), Chirp Direction, Chip Count
0.0000000000, 0.0003669205, 0.0001890000, 0.0001055245, 8221000000.0000000000, -3.4480970550, 23.6752574769, 0.0044300000, angry_bear_sas, Tx-angry_bear_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0044300000, 0.0047969205, 0.0001890000, 0.0001055245, 8221000000.0000000000, -3.4480970079, 23.6752574769, 0.0044300000, angry_bear_sas, Tx-angry_bear_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0088600000, 0.0092269205, 0.0001890000, 0.0001055245, 8221000000.0000000000, -3.4480969832, 23.6752574769, 0.0044300000, angry_bear_sas, Tx-angry_bear_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0132900000, 0.0136569205, 0.0001890000, 0.0001055245, 8221000000.0000000000, -3.4480969585, 23.6752574769, 0.0044300000, angry_bear_sas, Tx-angry_bear_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0177200000, 0.0180869205, 0.0001890000, 0.0001055245, 8221000000.0000000000, -3.4480970234, 23.6752574769, 0.0044300000, angry_bear_sas, Tx-angry_bear_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0221500000, 0.0225169205, 0.0001890000, 0.0001055245, 8221000000.0000000000, -3.4480969987, 23.6752574769, 0.0044300000, angry_bear_sas, Tx-angry_bear_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0265800000, 0.0269469205, 0.0001890000, 0.0001055245, 8221000000.0000000000, -3.4480969740, 23.6752574769, 0.0044300000, angry_bear_sas, Tx-angry_bear_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0310100000, 0.0313769205, 0.0001890000, 0.0001055245, 8221000000.0000000000, -3.4480967701, 23.6752574769, 0.0044300000, angry_bear_sas, Tx-angry_bear_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0354400000, 0.0358069205, 0.0001890000, 0.0001055245, 8221000000.0000000000, -3.4480969246, 23.6752574769, 0.0044300000, angry_bear_sas, Tx-angry_bear_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0398700000, 0.0402369205, 0.0001890000, 0.0001055245, 8221000000.0000000000, -3.4480970791, 23.6752574769, 0.0044300000, angry_bear_sas, Tx-angry_bear_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0443000000, 0.0446669205, 0.0001890000, 0.0001055245, 8221000000.0000000000, -3.4480968591, 23.6752574769, 0.0044300000, angry_bear_sas, Tx-angry_bear_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
