Tx Time (sec), Rx Time (sec), Pulse Width (sec), Amplitude (V), Carrier Frequency (Hz), Leading Edge Phase (rad), SNR (dB), PRI (sec), Emitter ID, Antenna ID, General Mode, Exact Mode, Index, Received Azimuth (deg), Received Elevation (deg), Tx North (km), Tx East (km), Tx Down (km), Rx North (km), Rx East (km), Rx Down (km), Modulation Type, Chirp Bandwidth (Hz), Chirp Direction, Chip Count
0.0000000000, 0.0003669205, 0.0001600000, 0.0000628337, 8658000000.0000000000, -2.1398928102, 19.1720373254, 0.0033530000, angry_bobcat_sas, Tx-angry_bobcat_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0033530000, 0.0037199205, 0.0001600000, 0.0000607608, 8658000000.0000000000, -2.1398928176, 18.8806504102, 0.0033530000, angry_bobcat_sas, Tx-angry_bobcat_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0067060000, 0.0070729205, 0.0001600000, 0.0000402301, 8658000000.0000000000, -2.1398928016, 15.2992125607, 0.0033530000, angry_bobcat_sas, Tx-angry_bobcat_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0100590000, 0.0104259205, 0.0001600000, 0.0000798614, 8658000000.0000000000, -2.1398928091, 21.2549275399, 0.0033530000, angry_bobcat_sas, Tx-angry_bobcat_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0134120000, 0.0137789205, 0.0001600000, 0.0000088729, 8658000000.0000000000, -2.1398928165, 2.1695438339, 0.0033530000, angry_bobcat_sas, Tx-angry_bobcat_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0167650000, 0.0171319205, 0.0001600000, 0.0000869169, 8658000000.0000000000, -2.1398928241, 21.9902756170, 0.0033530000, angry_bobcat_sas, Tx-angry_bobcat_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0201180000, 0.0204849205, 0.0001600000, 0.0000267191, 8658000000.0000000000, -2.1398929253, 11.7446150363, 0.0033530000, angry_bobcat_sas, Tx-angry_bobcat_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0234710000, 0.0238379205, 0.0001600000, 0.0000796989, 8658000000.0000000000, -2.1398928392, 21.2372330962, 0.0033530000, angry_bobcat_sas, Tx-angry_bobcat_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0268240000, 0.0271909205, 0.0001600000, 0.0000609485, 8658000000.0000000000, -2.1398929404, 18.9074440680, 0.0033530000, angry_bobcat_sas, Tx-angry_bobcat_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0301770000, 0.0305439205, 0.0001600000, 0.0000581247, 8658000000.0000000000, -2.1398928543, 18.4954073811, 0.0033530000, angry_bobcat_sas, Tx-angry_bobcat_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0335300000, 0.0338969205, 0.0001600000, 0.0000879446, 8658000000.0000000000, -2.1398927682, 22.0923692300, 0.0033530000, angry_bobcat_sas, Tx-angry_bobcat_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0368830000, 0.0372499205, 0.0001600000, 0.0000244517, 8658000000.0000000000, -2.1398928694, 10.9743645707, 0.0033530000, angry_bobcat_sas, Tx-angry_bobcat_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0402360000, 0.0406029205, 0.0001600000, 0.0001024737, 8658000000.0000000000, -2.1398929705, 23.4204380029, 0.0033530000, angry_bobcat_sas, Tx-angry_bobcat_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
