Tx Time (sec), Rx Time (sec), Pulse Width (sec), Amplitude (V), Carrier Frequency (Hz), Leading Edge Phase (rad), SNR (dB), PRI (sec), Emitter ID, Antenna ID, General Mode, Exact Mode, Index, Received Azimuth (deg), Received Elevation (deg), Tx North (km), Tx East (km), Tx Down (km), Rx North (km), Rx East (km), Rx Down (km), Modulation Type, Chirp Bandwidth (Hz), Chirp Direction, Chip Count
0.0000000000, 0.0003669205, 0.0000880000, 0.0000752721, 8246000000.0000000000, -1.1885218530, 20.7408732918, 0.0023300000, angry_cheetah_sas, Tx-angry_cheetah_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0023300000, 0.0026969205, 0.0000880000, 0.0000339800, 8246000000.0000000000, -1.1885218422, 13.8326466526, 0.0023300000, angry_cheetah_sas, Tx-angry_cheetah_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0046600000, 0.0050269205, 0.0000880000, 0.0000120296, 8246000000.0000000000, -1.1885218540, 4.8131787721, 0.0023300000, angry_cheetah_sas, Tx-angry_cheetah_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0069900000, 0.0073569205, 0.0000880000, 0.0000573313, 8246000000.0000000000, -1.1885217753, 18.3760294874, 0.0023300000, angry_cheetah_sas, Tx-angry_cheetah_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0093200000, 0.0096869205, 0.0000880000, 0.0000964986, 8246000000.0000000000, -1.1885217871, 22.8986099238, 0.0023300000, angry_cheetah_sas, Tx-angry_cheetah_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0116500000, 0.0120169205, 0.0000880000, 0.0001247503, 8246000000.0000000000, -1.1885217988, 25.1290197522, 0.0023300000, angry_cheetah_sas, Tx-angry_cheetah_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0139800000, 0.0143469205, 0.0000880000, 0.0001385317, 8246000000.0000000000, -1.1885217170, 26.0391687054, 0.0023300000, angry_cheetah_sas, Tx-angry_cheetah_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0163100000, 0.0166769205, 0.0000880000, 0.0001359583, 8246000000.0000000000, -1.1885219129, 25.8763013937, 0.0023300000, angry_cheetah_sas, Tx-angry_cheetah_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0186400000, 0.0190069205, 0.0000880000, 0.0001170681, 8246000000.0000000000, -1.1885218342, 24.5769580999, 0.0023300000, angry_cheetah_sas, Tx-angry_cheetah_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0209700000, 0.0213369205, 0.0000880000, 0.0000838484, 8246000000.0000000000, -1.1885217555, 21.6780831680, 0.0023300000, angry_cheetah_sas, Tx-angry_cheetah_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0233000000, 0.0236669205, 0.0000880000, 0.0000400312, 8246000000.0000000000, 5.0946634431, 15.2561615723, 0.0023300000, angry_cheetah_sas, Tx-angry_cheetah_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
