Tx Time (sec), Rx Time (sec), Pulse Width (sec), Amplitude (V), Carrier Frequency (Hz), Leading Edge Phase (rad), SNR (dB), PRI (sec), Emitter ID, Antenna ID, General Mode, Exact Mode, Index, Received Azimuth (deg), Received Elevation (deg), Tx North (km), Tx East (km), Tx Down (km), Rx North (km), Rx East (km), Rx Down (km), Modulation Type, Chirp Bandwidth (Hz), Chirp Direction, Chip Count
0.0000000000, 0.0003669205, 0.0000970000, 0.0001235498, 8777000000.0000000000, -1.6958920235, 32.8265412379, 0.0012500000, angry_hare_sas, Tx-angry_hare_sas, Search, LFM, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, LFM, 2700000.0000000000, CHIRP_NEGATIVE,0
0.0012500000, 0.0016169205, 0.0000970000, 0.0001235498, 8777000000.0000000000, -1.6958920228, 32.8265412379, 0.0012500000, angry_hare_sas, Tx-angry_hare_sas, Search, LFM, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, LFM, 2700000.0000000000, CHIRP_NEGATIVE,0
0.0025000000, 0.0028669205, 0.0000970000, 0.0001235498, 8777000000.0000000000, -1.6958920221, 32.8265412379, 0.0012500000, angry_hare_sas, Tx-angry_hare_sas, Search, LFM, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, LFM, 2700000.0000000000, CHIRP_NEGATIVE,0
0.0037500000, 0.0041169205, 0.0000970000, 0.0001235498, 8777000000.0000000000, -1.6958919856, 32.8265412379, 0.0012500000, angry_hare_sas, Tx-angry_hare_sas, Search, LFM, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, LFM, 2700000.0000000000, CHIRP_NEGATIVE,0
0.0050000000, 0.0053669205, 0.0000970000, 0.0001235498, 8777000000.0000000000, -1.6958920448, 32.8265412379, 0.0012500000, angry_hare_sas, Tx-angry_hare_sas, Search, LFM, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, LFM, 2700000.0000000000, CHIRP_NEGATIVE,0
0.0062500000, 0.0066169205, 0.0000970000, 0.0001235498, 8777000000.0000000000, -1.6958920082, 32.8265412379, 0.0012500000, angry_hare_sas, Tx-angry_hare_sas, Search, LFM, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, LFM, 2700000.0000000000, CHIRP_NEGATIVE,0
0.0075000000, 0.0078669205, 0.0000970000, 0.0001235498, 8777000000.0000000000, -1.6958920205, 32.8265412379, 0.0012500000, angry_hare_sas, Tx-angry_hare_sas, Search, LFM, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, LFM, 2700000.0000000000, CHIRP_NEGATIVE,0
0.0087500000, 0.0091169205, 0.0000970000, 0.0001235498, 8777000000.0000000000, -1.6958920308, 32.8265412379, 0.0012500000, angry_hare_sas, Tx-angry_hare_sas, Search, LFM, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, LFM, 2700000.0000000000, CHIRP_NEGATIVE,0
0.0100000000, 0.0103669205, 0.0000970000, 0.0001235498, 8777000000.0000000000, -1.6958919943, 32.8265412379, 0.0012500000, angry_hare_sas, Tx-angry_hare_sas, Search, LFM, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, LFM, 2700000.0000000000, CHIRP_NEGATIVE,0
0.0112500000, 0.0116169205, 0.0000970000, 0.0001235498, 8777000000.0000000000, -1.6958919578, 32.8265412379, 0.0012500000, angry_hare_sas, Tx-angry_hare_sas, Search, LFM, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, LFM, 2700000.0000000000, CHIRP_NEGATIVE,0
