Tx Time (sec), Rx Time (sec), Pulse Width (sec), Amplitude (V), Carrier Frequency (Hz), Leading Edge Phase (rad), SNR (dB), PRI (sec), Emitter ID, Antenna ID, General Mode, Exact Mode, Index, Received Azimuth (deg), Received Elevation (deg), Tx North (km), Tx East (km), Tx Down (km), Rx North (km), Rx East (km), Rx Down (km), Modulation Type, Chirp Bandwidth (Hz), Chirp Direction, Chip Count
0.0000000000, 0.0003669205, 0.0000600000, 0.0000634150, 8550000000.0000000000, -1.9813309833, 27.0335409972, 0.0005540000, angry_mandrill_t, Tx-angry_mandrill_t, Track, Jitter, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0005540000, 0.0009209205, 0.0000600000, 0.0000634150, 8550000000.0000000000, -1.9813309832, 27.0335409972, 0.0005560000, angry_mandrill_t, Tx-angry_mandrill_t, Track, Jitter, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0011100000, 0.0014769205, 0.0000600000, 0.0000634150, 8550000000.0000000000, 4.3018543213, 27.0335409972, 0.0005590000, angry_mandrill_t, Tx-angry_mandrill_t, Track, Jitter, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0016690000, 0.0020359205, 0.0000600000, 0.0000634150, 8550000000.0000000000, -1.9813309749, 27.0335409972, 0.0005510000, angry_mandrill_t, Tx-angry_mandrill_t, Track, Jitter, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0022200000, 0.0025869205, 0.0000600000, 0.0000634150, 8550000000.0000000000, 4.3018543187, 27.0335409972, 0.0005530000, angry_mandrill_t, Tx-angry_mandrill_t, Track, Jitter, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0027730000, 0.0031399205, 0.0000600000, 0.0000634150, 8550000000.0000000000, -1.9813309696, 27.0335409972, 0.0005570000, angry_mandrill_t, Tx-angry_mandrill_t, Track, Jitter, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0033300000, 0.0036969205, 0.0000600000, 0.0000634150, 8550000000.0000000000, 4.3018543278, 27.0335409972, 0.0005540000, angry_mandrill_t, Tx-angry_mandrill_t, Track, Jitter, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0038840000, 0.0042509205, 0.0000600000, 0.0000634150, 8550000000.0000000000, 4.3018543161, 27.0335409972, 0.0005550000, angry_mandrill_t, Tx-angry_mandrill_t, Track, Jitter, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0044390000, 0.0048059205, 0.0000600000, 0.0000634150, 8550000000.0000000000, 4.3018542973, 27.0335409972, 0.0005500000, angry_mandrill_t, Tx-angry_mandrill_t, Track, Jitter, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0049890000, 0.0053559205, 0.0000600000, 0.0000634150, 8550000000.0000000000, 4.3018542909, 27.0335409972, 0.0005510000, angry_mandrill_t, Tx-angry_mandrill_t, Track, Jitter, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
