Tx Time (sec), Rx Time (sec), Pulse Width (sec), Amplitude (V), Carrier Frequency (Hz), Leading Edge Phase (rad), SNR (dB), PRI (sec), Emitter ID, Antenna ID, General Mode, Exact Mode, Index, Received Azimuth (deg), Received Elevation (deg), Tx North (km), Tx East (km), Tx Down (km), Rx North (km), Rx East (km), Rx Down (km), Modulation Type, Chirp Bandwidth (Hz), Chirp Direction, Chip Count
0.0000000000, 0.0003669205, 0.0001000000, 0.0000641655, 8450000000.0000000000, -1.6642073313, 27.1357291128, 0.0040000000, angry_puma_sas, Tx-angry_puma_sas, Search, Staggered, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, LFM, 6000000.0000000000, CHIRP_POSITIVE,0
0.0040000000, 0.0043669205, 0.0001200000, 0.0000641655, 8450000000.0000000000, -1.6642072997, 27.1357291128, 0.0015000000, angry_puma_sas, Tx-angry_puma_sas, Search, Staggered, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, LFM, 6000000.0000000000, CHIRP_POSITIVE,0
0.0055000000, 0.0058669205, 0.0000900000, 0.0000641655, 8450000000.0000000000, -1.6642072735, 27.1357291128, 0.0025500000, angry_puma_sas, Tx-angry_puma_sas, Search, Staggered, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, LFM, 6000000.0000000000, CHIRP_POSITIVE,0
0.0080500000, 0.0084169205, 0.0001000000, 0.0000641655, 8450000000.0000000000, -1.6642072749, 27.1357291128, 0.0040000000, angry_puma_sas, Tx-angry_puma_sas, Search, Staggered, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, LFM, 6000000.0000000000, CHIRP_POSITIVE,0
0.0120500000, 0.0124169205, 0.0001200000, 0.0000641655, 8450000000.0000000000, -1.6642072664, 27.1357291128, 0.0015000000, angry_puma_sas, Tx-angry_puma_sas, Search, Staggered, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, LFM, 6000000.0000000000, CHIRP_POSITIVE,0
0.0135500000, 0.0139169205, 0.0000900000, 0.0000641655, 8450000000.0000000000, -1.6642072402, 27.1357291128, 0.0025500000, angry_puma_sas, Tx-angry_puma_sas, Search, Staggered, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, LFM, 6000000.0000000000, CHIRP_POSITIVE,0
0.0161000000, 0.0164669205, 0.0001000000, 0.0000641655, 8450000000.0000000000, -1.6642073338, 27.1357291128, 0.0040000000, angry_puma_sas, Tx-angry_puma_sas, Search, Staggered, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, LFM, 6000000.0000000000, CHIRP_POSITIVE,0
0.0201000000, 0.0204669205, 0.0001200000, 0.0000641655, 8450000000.0000000000, -1.6642073252, 27.1357291128, 0.0015000000, angry_puma_sas, Tx-angry_puma_sas, Search, Staggered, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, LFM, 6000000.0000000000, CHIRP_POSITIVE,0
0.0216000000, 0.0219669205, 0.0000900000, 0.0000641655, 8450000000.0000000000, -1.6642073911, 27.1357291128, 0.0025500000, angry_puma_sas, Tx-angry_puma_sas, Search, Staggered, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, LFM, 6000000.0000000000, CHIRP_POSITIVE,0
0.0241500000, 0.0245169205, 0.0001000000, 0.0000641655, 8450000000.0000000000, -1.6642073926, 27.1357291128, 0.0040000000, angry_puma_sas, Tx-angry_puma_sas, Search, Staggered, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, LFM, 6000000.0000000000, CHIRP_POSITIVE,0
0.0281500000, 0.0285169205, 0.0001200000, 0.0000641655, 8450000000.0000000000, -1.6642073840, 27.1357291128, 0.0015000000, angry_puma_sas, Tx-angry_puma_sas, Search, Staggered, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, LFM, 6000000.0000000000, CHIRP_POSITIVE,0
0.0296500000, 0.0300169205, 0.0000900000, 0.0000641655, 8450000000.0000000000, -1.6642072627, 27.1357291128, 0.0025500000, angry_puma_sas, Tx-angry_puma_sas, Search, Staggered, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, LFM, 6000000.0000000000, CHIRP_POSITIVE,0
0.0322000000, 0.0325669205, 0.0001000000, 0.0000641655, 8450000000.0000000000, -1.6642072611, 27.1357291128, 0.0040000000, angry_puma_sas, Tx-angry_puma_sas, Search, Staggered, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, LFM, 6000000.0000000000, CHIRP_POSITIVE,0
0.0362000000, 0.0365669205, 0.0001200000, 0.0000641655, 8450000000.0000000000, -1.6642074368, 27.1357291128, 0.0015000000, angry_puma_sas, Tx-angry_puma_sas, Search, Staggered, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, LFM, 6000000.0000000000, CHIRP_POSITIVE,0
0.0377000000, 0.0380669205, 0.0000900000, 0.0000641655, 8450000000.0000000000, -1.6642071281, 27.1357291128, 0.0025500000, angry_puma_sas, Tx-angry_puma_sas, Search, Staggered, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, LFM, 6000000.0000000000, CHIRP_POSITIVE,0
0.0402500000, 0.0406169205, 0.0001000000, 0.0000641655, 8450000000.0000000000, -1.6642073199, 27.1357291128, 0.0040000000, angry_puma_sas, Tx-angry_puma_sas, Search, Staggered, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, LFM, 6000000.0000000000, CHIRP_POSITIVE,0
0.0442500000, 0.0446169205, 0.0001200000, 0.0000641655, 8450000000.0000000000, -1.6642071211, 27.1357291128, 0.0015000000, angry_puma_sas, Tx-angry_puma_sas, Search, Staggered, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, LFM, 6000000.0000000000, CHIRP_POSITIVE,0
