Tx Time (sec), Rx Time (sec), Pulse Width (sec), Amplitude (V), Carrier Frequency (Hz), Leading Edge Phase (rad), SNR (dB), PRI (sec), Emitter ID, Antenna ID, General Mode, Exact Mode, Index, Received Azimuth (deg), Received Elevation (deg), Tx North (km), Tx East (km), Tx Down (km), Rx North (km), Rx East (km), Rx Down (km), Modulation Type, Chirp Bandwidth (Hz), Chirp Direction, Chip Count
0.0000000000, 0.0003669205, 0.0084000000, 0.0009471469, 8770000000.0000000000, -5.1922771412, 50.5180467304, 0.0460000000, angry_starling_ti, Tx-angry_starling_ti, Missile, Illumination, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0460000000, 0.0463669205, 0.0084000000, 0.0009471469, 8770000000.0000000000, -5.1922772572, 50.5180467304, 0.0460000000, angry_starling_ti, Tx-angry_starling_ti, Missile, Illumination, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0920000000, 0.0923669205, 0.0084000000, 0.0009471469, 8770000000.0000000000, -5.1922773016, 50.5180467304, 0.0460000000, angry_starling_ti, Tx-angry_starling_ti, Missile, Illumination, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.1380000000, 0.1383669205, 0.0084000000, 0.0009471469, 8770000000.0000000000, -5.1922773459, 50.5180467304, 0.0460000000, angry_starling_ti, Tx-angry_starling_ti, Missile, Illumination, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.1840000000, 0.1843669205, 0.0084000000, 0.0009471469, 8770000000.0000000000, -5.1922766256, 50.5180467304, 0.0460000000, angry_starling_ti, Tx-angry_starling_ti, Missile, Illumination, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.2300000000, 0.2303669205, 0.0084000000, 0.0009471469, 8770000000.0000000000, 1.0909079039, 50.5180467304, 0.0460000000, angry_starling_ti, Tx-angry_starling_ti, Missile, Illumination, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.2760000000, 0.2763669205, 0.0084000000, 0.0009471469, 8770000000.0000000000, 1.0909055968, 50.5180467304, 0.0460000000, angry_starling_ti, Tx-angry_starling_ti, Missile, Illumination, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.3220000000, 0.3223669205, 0.0084000000, 0.0009471469, 8770000000.0000000000, 1.0909063172, 50.5180467304, 0.0460000000, angry_starling_ti, Tx-angry_starling_ti, Missile, Illumination, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.3680000000, 0.3683669205, 0.0084000000, 0.0009471469, 8770000000.0000000000, 1.0909070375, 50.5180467304, 0.0460000000, angry_starling_ti, Tx-angry_starling_ti, Missile, Illumination, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.4140000000, 0.4143669205, 0.0084000000, 0.0009471469, 8770000000.0000000000, 1.0909077579, 50.5180467304, 0.0460000000, angry_starling_ti, Tx-angry_starling_ti, Missile, Illumination, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
