Tx Time (sec), Rx Time (sec), Pulse Width (sec), Amplitude (V), Carrier Frequency (Hz), Leading Edge Phase (rad), SNR (dB), PRI (sec), Emitter ID, Antenna ID, General Mode, Exact Mode, Index, Received Azimuth (deg), Received Elevation (deg), Tx North (km), Tx East (km), Tx Down (km), Rx North (km), Rx East (km), Rx Down (km), Modulation Type, Chirp Bandwidth (Hz), Chirp Direction, Chip Count
0.0000000000, 0.0003669205, 0.0000650000, 0.0000936205, 8803000000.0000000000, -1.2756893491, 30.4171210135, 0.0037000000, angry_weasel_sas, Tx-angry_weasel_sas, Search, LFM, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, LFM, 1900000.0000000000, CHIRP_POSITIVE,0
0.0037000000, 0.0040669205, 0.0000650000, 0.0000936205, 8803000000.0000000000, -1.2756893361, 30.4171210135, 0.0037000000, angry_weasel_sas, Tx-angry_weasel_sas, Search, LFM, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, LFM, 1900000.0000000000, CHIRP_POSITIVE,0
0.0074000000, 0.0077669205, 0.0000650000, 0.0000936205, 8803000000.0000000000, -1.2756893470, 30.4171210135, 0.0037000000, angry_weasel_sas, Tx-angry_weasel_sas, Search, LFM, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, LFM, 1900000.0000000000, CHIRP_POSITIVE,0
0.0111000000, 0.0114669205, 0.0000650000, 0.0000936205, 8803000000.0000000000, -1.2756893580, 30.4171210135, 0.0037000000, angry_weasel_sas, Tx-angry_weasel_sas, Search, LFM, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, LFM, 1900000.0000000000, CHIRP_POSITIVE,0
0.0148000000, 0.0151669205, 0.0000650000, 0.0000936205, 8803000000.0000000000, -1.2756893690, 30.4171210135, 0.0037000000, angry_weasel_sas, Tx-angry_weasel_sas, Search, LFM, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, LFM, 1900000.0000000000, CHIRP_POSITIVE,0
0.0185000000, 0.0188669205, 0.0000650000, 0.0000936205, 8803000000.0000000000, -1.2756893846, 30.4171210135, 0.0037000000, angry_weasel_sas, Tx-angry_weasel_sas, Search, LFM, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, LFM, 1900000.0000000000, CHIRP_POSITIVE,0
0.0222000000, 0.0225669205, 0.0000650000, 0.0000936205, 8803000000.0000000000, -1.2756894915, 30.4171210135, 0.0037000000, angry_weasel_sas, Tx-angry_weasel_sas, Search, LFM, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, LFM, 1900000.0000000000, CHIRP_POSITIVE,0
0.0259000000, 0.0262669205, 0.0000650000, 0.0000936205, 8803000000.0000000000, -1.2756894111, 30.4171210135, 0.0037000000, angry_weasel_sas, Tx-angry_weasel_sas, Search, LFM, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, LFM, 1900000.0000000000, CHIRP_POSITIVE,0
0.0296000000, 0.0299669205, 0.0000650000, 0.0000936205, 8803000000.0000000000, -1.2756895180, 30.4171210135, 0.0037000000, angry_weasel_sas, Tx-angry_weasel_sas, Search, LFM, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, LFM, 1900000.0000000000, CHIRP_POSITIVE,0
0.0333000000, 0.0336669205, 0.0000650000, 0.0000936205, 8803000000.0000000000, -1.2756896249, 30.4171210135, 0.0037000000, angry_weasel_sas, Tx-angry_weasel_sas, Search, LFM, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, LFM, 1900000.0000000000, CHIRP_POSITIVE,0
0.0370000000, 0.0373669205, 0.0000650000, 0.0000936205, 8803000000.0000000000, -1.2756893388, 30.4171210135, 0.0037000000, angry_weasel_sas, Tx-angry_weasel_sas, Search, LFM, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, LFM, 1900000.0000000000, CHIRP_POSITIVE,0
0.0407000000, 0.0410669205, 0.0000650000, 0.0000936205, 8803000000.0000000000, -1.2756894643, 30.4171210135, 0.0037000000, angry_weasel_sas, Tx-angry_weasel_sas, Search, LFM, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, LFM, 1900000.0000000000, CHIRP_POSITIVE,0
0.0444000000, 0.0447669205, 0.0000650000, 0.0000936205, 8803000000.0000000000, -1.2756895712, 30.4171210135, 0.0037000000, angry_weasel_sas, Tx-angry_weasel_sas, Search, LFM, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, LFM, 1900000.0000000000, CHIRP_POSITIVE,0
0.0481000000, 0.0484669205, 0.0000650000, 0.0000936205, 8803000000.0000000000, -1.2756893036, 30.4171210135, 0.0037000000, angry_weasel_sas, Tx-angry_weasel_sas, Search, LFM, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, LFM, 1900000.0000000000, CHIRP_POSITIVE,0
0.0518000000, 0.0521669205, 0.0000650000, 0.0000936205, 8803000000.0000000000, -1.2756894105, 30.4171210135, 0.0037000000, angry_weasel_sas, Tx-angry_weasel_sas, Search, LFM, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, LFM, 1900000.0000000000, CHIRP_POSITIVE,0
0.0555000000, 0.0558669205, 0.0000650000, 0.0000936205, 8803000000.0000000000, -1.2756895174, 30.4171210135, 0.0037000000, angry_weasel_sas, Tx-angry_weasel_sas, Search, LFM, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, LFM, 1900000.0000000000, CHIRP_POSITIVE,0
0.0592000000, 0.0595669205, 0.0000650000, 0.0000936205, 8803000000.0000000000, -1.2756896243, 30.4171210135, 0.0037000000, angry_weasel_sas, Tx-angry_weasel_sas, Search, LFM, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, LFM, 1900000.0000000000, CHIRP_POSITIVE,0
