Tx Time (sec), Rx Time (sec), Pulse Width (sec), Amplitude (V), Carrier Frequency (Hz), Leading Edge Phase (rad), SNR (dB), PRI (sec), Emitter ID, Antenna ID, General Mode, Exact Mode, Index, Received Azimuth (deg), Received Elevation (deg), Tx North (km), Tx East (km), Tx Down (km), Rx North (km), Rx East (km), Rx Down (km), Modulation Type, Chirp Bandwidth (Hz), Chirp Direction, Chip Count
0.0000000000, 0.0003669205, 0.0000900000, 0.0000582896, 8260000000.0000000000, -2.3183094543, 26.3015216609, 0.0030000000, angry_wolf_sas, Tx-angry_wolf_sas, Search, Staggered, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0030000000, 0.0033669205, 0.0000670000, 0.0000582896, 8260000000.0000000000, -2.3183094447, 26.3015216609, 0.0050000000, angry_wolf_sas, Tx-angry_wolf_sas, Search, Staggered, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0080000000, 0.0083669205, 0.0000800000, 0.0000582896, 8260000000.0000000000, -2.3183094062, 26.3015216609, 0.0017500000, angry_wolf_sas, Tx-angry_wolf_sas, Search, Staggered, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0097500000, 0.0101169205, 0.0000900000, 0.0000582896, 8260000000.0000000000, -2.3183093893, 26.3015216609, 0.0030000000, angry_wolf_sas, Tx-angry_wolf_sas, Search, Staggered, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0127500000, 0.0131169205, 0.0000670000, 0.0000582896, 8260000000.0000000000, -2.3183093311, 26.3015216609, 0.0050000000, angry_wolf_sas, Tx-angry_wolf_sas, Search, Staggered, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0177500000, 0.0181169205, 0.0000800000, 0.0000582896, 8260000000.0000000000, -2.3183093565, 26.3015216609, 0.0017500000, angry_wolf_sas, Tx-angry_wolf_sas, Search, Staggered, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0195000000, 0.0198669205, 0.0000900000, 0.0000582896, 8260000000.0000000000, -2.3183094297, 26.3015216609, 0.0030000000, angry_wolf_sas, Tx-angry_wolf_sas, Search, Staggered, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0225000000, 0.0228669205, 0.0000670000, 0.0000582896, 8260000000.0000000000, -2.3183093751, 26.3015216609, 0.0050000000, angry_wolf_sas, Tx-angry_wolf_sas, Search, Staggered, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0275000000, 0.0278669205, 0.0000800000, 0.0000582896, 8260000000.0000000000, -2.3183094041, 26.3015216609, 0.0017500000, angry_wolf_sas, Tx-angry_wolf_sas, Search, Staggered, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0292500000, 0.0296169205, 0.0000900000, 0.0000582896, 8260000000.0000000000, -2.3183094773, 26.3015216609, 0.0030000000, angry_wolf_sas, Tx-angry_wolf_sas, Search, Staggered, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
