Tx Time (sec), Rx Time (sec), Pulse Width (sec), Amplitude (V), Carrier Frequency (Hz), Leading Edge Phase (rad), SNR (dB), PRI (sec), Emitter ID, Antenna ID, General Mode, Exact Mode, Index, Received Azimuth (deg), Received Elevation (deg), Tx North (km), Tx East (km), Tx Down (km), Rx North (km), Rx East (km), Rx Down (km), Modulation Type, Chirp Bandwidth (Hz), Chirp Direction, Chip Count
0.0000000000, 0.0003669205, 0.0002000000, 0.0000157560, 8258900000.0000000000, -4.7526969962, 14.9386439731, 0.0050000000, angry_zebra_sas, Tx-angry_zebra_sas, Search, LPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0050000000, 0.0053669205, 0.0002000000, 0.0000157560, 8258900000.0000000000, -4.7526970429, 14.9386439731, 0.0050000000, angry_zebra_sas, Tx-angry_zebra_sas, Search, LPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0100000000, 0.0103669205, 0.0002000000, 0.0000157560, 8258900000.0000000000, -4.7526970222, 14.9386439731, 0.0050000000, angry_zebra_sas, Tx-angry_zebra_sas, Search, LPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0150000000, 0.0153669205, 0.0002000000, 0.0000157560, 8258900000.0000000000, -4.7526970014, 14.9386439731, 0.0050000000, angry_zebra_sas, Tx-angry_zebra_sas, Search, LPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0200000000, 0.0203669205, 0.0002000000, 0.0000157560, 8258900000.0000000000, -4.7526971606, 14.9386439731, 0.0050000000, angry_zebra_sas, Tx-angry_zebra_sas, Search, LPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0250000000, 0.0253669205, 0.0002000000, 0.0000157560, 8258900000.0000000000, -4.7526972298, 14.9386439731, 0.0050000000, angry_zebra_sas, Tx-angry_zebra_sas, Search, LPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0300000000, 0.0303669205, 0.0002000000, 0.0000157560, 8258900000.0000000000, -4.7526971190, 14.9386439731, 0.0050000000, angry_zebra_sas, Tx-angry_zebra_sas, Search, LPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0350000000, 0.0353669205, 0.0002000000, 0.0000157560, 8258900000.0000000000, -4.7526973683, 14.9386439731, 0.0050000000, angry_zebra_sas, Tx-angry_zebra_sas, Search, LPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0400000000, 0.0403669205, 0.0002000000, 0.0000157560, 8258900000.0000000000, -4.7526972575, 14.9386439731, 0.0050000000, angry_zebra_sas, Tx-angry_zebra_sas, Search, LPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0450000000, 0.0453669205, 0.0002000000, 0.0000157560, 8258900000.0000000000, -4.7526971467, 14.9386439731, 0.0050000000, angry_zebra_sas, Tx-angry_zebra_sas, Search, LPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0500000000, 0.0503669205, 0.0002000000, 0.0000157560, 8258900000.0000000000, 1.5304878968, 14.9386439731, 0.0050000000, angry_zebra_sas, Tx-angry_zebra_sas, Search, LPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0550000000, 0.0553669205, 0.0002000000, 0.0000157560, 8258900000.0000000000, 1.5304880076, 14.9386439731, 0.0050000000, angry_zebra_sas, Tx-angry_zebra_sas, Search, LPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0600000000, 0.0603669205, 0.0002000000, 0.0000157560, 8258900000.0000000000, 1.5304881184, 14.9386439731, 0.0050000000, angry_zebra_sas, Tx-angry_zebra_sas, Search, LPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0650000000, 0.0653669205, 0.0002000000, 0.0000157560, 8258900000.0000000000, 1.5304878547, 14.9386439731, 0.0050000000, angry_zebra_sas, Tx-angry_zebra_sas, Search, LPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0700000000, 0.0703669205, 0.0002000000, 0.0000157560, 8258900000.0000000000, -4.7526969527, 14.9386439731, 0.0050000000, angry_zebra_sas, Tx-angry_zebra_sas, Search, LPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0750000000, 0.0753669205, 0.0002000000, 0.0000157560, 8258900000.0000000000, -4.7526972019, 14.9386439731, 0.0050000000, angry_zebra_sas, Tx-angry_zebra_sas, Search, LPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0800000000, 0.0803669205, 0.0002000000, 0.0000157560, 8258900000.0000000000, -4.7526974512, 14.9386439731, 0.0050000000, angry_zebra_sas, Tx-angry_zebra_sas, Search, LPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0850000000, 0.0853669205, 0.0002000000, 0.0000157560, 8258900000.0000000000, -4.7526977005, 14.9386439731, 0.0050000000, angry_zebra_sas, Tx-angry_zebra_sas, Search, LPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0900000000, 0.0903669205, 0.0002000000, 0.0000157560, 8258900000.0000000000, -4.7526972296, 14.9386439731, 0.0050000000, angry_zebra_sas, Tx-angry_zebra_sas, Search, LPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0950000000, 0.0953669205, 0.0002000000, 0.0000157560, 8258900000.0000000000, -4.7526974789, 14.9386439731, 0.0050000000, angry_zebra_sas, Tx-angry_zebra_sas, Search, LPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.1000000000, 0.1003669205, 0.0002000000, 0.0000157560, 8258900000.0000000000, -4.7526977281, 14.9386439731, 0.0050000000, angry_zebra_sas, Tx-angry_zebra_sas, Search, LPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.1050000000, 0.1053669205, 0.0002000000, 0.0000157560, 8258900000.0000000000, -4.7526972572, 14.9386439731, 0.0050000000, angry_zebra_sas, Tx-angry_zebra_sas, Search, LPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.1100000000, 0.1103669205, 0.0002000000, 0.0000157560, 8258900000.0000000000, -4.7526975065, 14.9386439731, 0.0050000000, angry_zebra_sas, Tx-angry_zebra_sas, Search, LPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.1150000000, 0.1153669205, 0.0002000000, 0.0000157560, 8258900000.0000000000, -4.7526977558, 14.9386439731, 0.0050000000, angry_zebra_sas, Tx-angry_zebra_sas, Search, LPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.1200000000, 0.1203669205, 0.0002000000, 0.0000157560, 8258900000.0000000000, -4.7526972849, 14.9386439731, 0.0050000000, angry_zebra_sas, Tx-angry_zebra_sas, Search, LPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.1250000000, 0.1253669205, 0.0002000000, 0.0000157560, 8258900000.0000000000, -4.7526968140, 14.9386439731, 0.0050000000, angry_zebra_sas, Tx-angry_zebra_sas, Search, LPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.1300000000, 0.1303669205, 0.0002000000, 0.0000157560, 8258900000.0000000000, -4.7526970633, 14.9386439731, 0.0050000000, angry_zebra_sas, Tx-angry_zebra_sas, Search, LPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.1350000000, 0.1353669205, 0.0002000000, 0.0000157560, 8258900000.0000000000, -4.7526973125, 14.9386439731, 0.0050000000, angry_zebra_sas, Tx-angry_zebra_sas, Search, LPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.1400000000, 0.1403669205, 0.0002000000, 0.0000157560, 8258900000.0000000000, -4.7526975618, 14.9386439731, 0.0050000000, angry_zebra_sas, Tx-angry_zebra_sas, Search, LPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.1450000000, 0.1453669205, 0.0002000000, 0.0000157560, 8258900000.0000000000, -4.7526963707, 14.9386439731, 0.0050000000, angry_zebra_sas, Tx-angry_zebra_sas, Search, LPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.1500000000, 0.1503669205, 0.0002000000, 0.0000157560, 8258900000.0000000000, -4.7526966200, 14.9386439731, 0.0050000000, angry_zebra_sas, Tx-angry_zebra_sas, Search, LPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.1550000000, 0.1553669205, 0.0002000000, 0.0000157560, 8258900000.0000000000, -4.7526968693, 14.9386439731, 0.0050000000, angry_zebra_sas, Tx-angry_zebra_sas, Search, LPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.1600000000, 0.1603669205, 0.0002000000, 0.0000157560, 8258900000.0000000000, -4.7526971185, 14.9386439731, 0.0050000000, angry_zebra_sas, Tx-angry_zebra_sas, Search, LPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.1650000000, 0.1653669205, 0.0002000000, 0.0000157560, 8258900000.0000000000, -4.7526973678, 14.9386439731, 0.0050000000, angry_zebra_sas, Tx-angry_zebra_sas, Search, LPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.1700000000, 0.1703669205, 0.0002000000, 0.0000157560, 8258900000.0000000000, -4.7526976171, 14.9386439731, 0.0050000000, angry_zebra_sas, Tx-angry_zebra_sas, Search, LPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.1750000000, 0.1753669205, 0.0002000000, 0.0000157560, 8258900000.0000000000, -4.7526978663, 14.9386439731, 0.0050000000, angry_zebra_sas, Tx-angry_zebra_sas, Search, LPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.1800000000, 0.1803669205, 0.0002000000, 0.0000157560, 8258900000.0000000000, -4.7526966753, 14.9386439731, 0.0050000000, angry_zebra_sas, Tx-angry_zebra_sas, Search, LPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.1850000000, 0.1853669205, 0.0002000000, 0.0000157560, 8258900000.0000000000, -4.7526969246, 14.9386439731, 0.0050000000, angry_zebra_sas, Tx-angry_zebra_sas, Search, LPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.1900000000, 0.1903669205, 0.0002000000, 0.0000157560, 8258900000.0000000000, -4.7526971738, 14.9386439731, 0.0050000000, angry_zebra_sas, Tx-angry_zebra_sas, Search, LPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.1950000000, 0.1953669205, 0.0002000000, 0.0000157560, 8258900000.0000000000, -4.7526974231, 14.9386439731, 0.0050000000, angry_zebra_sas, Tx-angry_zebra_sas, Search, LPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.2000000000, 0.2003669205, 0.0002000000, 0.0000157560, 8258900000.0000000000, -4.7526976724, 14.9386439731, 0.0050000000, angry_zebra_sas, Tx-angry_zebra_sas, Search, LPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
